,star_name,distance,mass,radius,gravity
1,SDSS J000013.54+255418.6 [de],46.1,5.6960265960000004e+28,571131.909576,417252.71652349894
2,2MASS J00040288-6410358,192,5.6960265960000004e+28,571131.909576,417252.71652349894
3,2MASS J00242463-0158201,37.7,5.6960265960000004e+28,571131.909576,417252.71652349894
4,2MASS J00274197+0503417,236,5.6960265960000004e+28,571131.909576,417252.71652349894
5,2MASSW J0030300-145033,87.2,5.6960265960000004e+28,571131.909576,417252.71652349894
6,2MASS J00332386-1521309 [de],131,5.6960265960000004e+28,571131.909576,417252.71652349894
7,2MASS J00345157+0523050,31,5.6960265960000004e+28,571131.909576,417252.71652349894
8,2MASS 0036+1821,28.6,5.6960265960000004e+28,571131.909576,417252.71652349894
9,2MASSW J0045214+163445,57,5.6960265960000004e+28,571131.909576,417252.71652349894
10,WISEP J004701.06+680352.1 [fr],40,5.6960265960000004e+28,571131.909576,417252.71652349894
11,2MASS J00501994-3322402 [de],34,5.6960265960000004e+28,571131.909576,417252.71652349894
12,2MASS J00584253-0651239 [de],96,5.6960265960000004e+28,571131.909576,417252.71652349894
13,2MASSI J0103320+193536,70,5.6960265960000004e+28,571131.909576,417252.71652349894
14,SDSSp J010752.33+004156.1 [de],51,5.6960265960000004e+28,571131.909576,417252.71652349894
15,2MASSI J0117474-340325 [de],163,5.6960265960000004e+28,571131.909576,417252.71652349894
16,2MASS J01415823-4633574 [de],130,5.6960265960000004e+28,571131.909576,417252.71652349894
17,SDSS J015141.69+124429.6,70,5.6960265960000004e+28,571131.909576,417252.71652349894
18,SDSS J020742.48+000056.2 [de],111,5.6960265960000004e+28,571131.909576,417252.71652349894
19,2MASS J02103857-3015313,101,5.6960265960000004e+28,571131.909576,417252.71652349894
20,2MASS J02340093-6442068,155,5.6960265960000004e+28,571131.909576,417252.71652349894
21,2MASS J02411151-0326587 [de],152,5.6960265960000004e+28,571131.909576,417252.71652349894
22,2MASS J02431371−2453298,35,5.6960265960000004e+28,571131.909576,417252.71652349894
23,LP 771-21,53,5.6960265960000004e+28,571131.909576,417252.71652349894
24,Teegarden's star,12.578,5.6960265960000004e+28,571131.909576,417252.71652349894
25,2MASS J02535980+3206373,184,5.6960265960000004e+28,571131.909576,417252.71652349894
26,WISE J0254+0223,24,5.6960265960000004e+28,571131.909576,417252.71652349894
27,DEN 0255-4700,16.2,5.6960265960000004e+28,571131.909576,417252.71652349894
28,2MASS J03185403-3421292 [de],45,5.6960265960000004e+28,571131.909576,417252.71652349894
29,2MASS J03205965+1854233,47,5.6960265960000004e+28,571131.909576,417252.71652349894
30,2MASS J03231002-4631237,192,5.6960265960000004e+28,571131.909576,417252.71652349894
31,SDSS J032553.17+042540.1,59,5.6960265960000004e+28,571131.909576,417252.71652349894
32,2MASS J03264225-2102057 [de],80,5.6960265960000004e+28,571131.909576,417252.71652349894
33,2MASS J03284265+2302051 [de],98,5.6960265960000004e+28,571131.909576,417252.71652349894
34,2MASS J03341218-4953322,27.0,5.6960265960000004e+28,571131.909576,417252.71652349894
35,LP 944-20,20.9,5.6960265960000004e+28,571131.909576,417252.71652349894
36,2MASP J0345432+254023,88,5.6960265960000004e+28,571131.909576,417252.71652349894
37,Teide 1,380,5.6960265960000004e+28,571131.909576,417252.71652349894
38,2MASS J03510004-0052452,48,5.6960265960000004e+28,571131.909576,417252.71652349894
39,2MASS J03552337+1133437,29.8,5.6960265960000004e+28,571131.909576,417252.71652349894
